campaignid	campaignname	channel	discount	freeshippingflag
2126		AD	0	N
2127		EMAIL	0	Y
2128		MAIL	0	N
2129		MAIL	0	N
2130		MAIL	0	N
2131		MAIL	0	N
2132		MAIL	0	N
2133		MAIL	0	N
2134		MAIL	0	N
2135		MAIL	0	N
2136		MAIL	0	N
2137		MAIL	0	N
2138		MAIL	0	N
2139		MAIL	0	N
2140		MAIL	0	N
2141		PARTNER	10	N
2142		PARTNER	15	N
2143		AD	0	N
2144		AD	0	N
2145		AD	0	N
2146		AD	0	Y
2147		WEB	0	Y
2148		PARTNER	0	N
2149		PARTNER	0	N
2150		CATALOG	10	Y
2151		CATALOG	10	Y
2152		AD	30	N
2153		MAIL	15	N
2154		AD	15	N
2155		EMAIL	0	Y
2156		INSERT	0	N
2157		AD	15	N
2158		AD	15	N
2159		CATALOG	10	Y
2160		EMAIL	0	Y
2161		INSERT	10	N
2162		AD	15	N
2163		EMPLOYEE	0	N
2164		WEB	10	N
2165		WEB	0	Y
2166		MAIL	0	N
2167		PARTNER	0	N
2168		AD	0	N
2169		INSERT	0	Y
2170		SURVEY	20	N
2171		AD	0	N
2172		WEB	0	N
2173		AD	0	N
2174		AD	15	N
2175		AD	0	N
2176		PARTNER	25	N
2177		WEB	0	N
2178		INSERT	0	N
2179		WEB	0	N
2180		PARTNER	0	N
2181		WEB	0	N
2182		PARTNER	0	N
2183		EMPLOYEE	30	N
2184		EMPLOYEE	30	N
2185		EMPLOYEE	40	N
2186		MAIL	20	N
2187		PARTNER	0	N
2188		EMPLOYEE	50	N
2189		INTERNAL	0	N
2190		MAIL	0	N
2191		BULK	0	N
2192		WEB	0	N
2193		AD	0	N
2194		WEB	0	N
2195		AD	0	N
2196		INSERT	0	N
2197		INSERT	0	Y
2198		EMPLOYEE	0	N
2199		PARTNER	0	N
2200		PARTNER	0	N
2201		PARTNER	0	N
2202		MAIL	0	N
2203		MAIL	10	N
2204		REFERRAL	0	N
2205		EMAIL	0	Y
2206		PARTNER	0	N
2207		AD	25	N
2208		AD	20	N
2209		CONFERENCE	0	N
2210		AD	0	N
2211		INSERT	0	Y
2212		WEB	0	Y
2213		EMAIL	0	Y
2214		EMAIL	0	Y
2215		EMPLOYEE	0	N
2216		AD	0	N
2217		AD	0	N
2218		AD	15	N
2219		BULK	0	N
2220		INSERT	0	N
2221		PARTNER	0	N
2222		AD	0	N
2223		AD	0	N
2224		WEB	0	N
2225		AD	0	N
2226		AD	0	N
2227		PARTNER	0	N
2228		PARTNER	0	N
2229		AD	0	Y
2230		AD	10	N
2231		PARTNER	0	N
2232		PARTNER	15	N
2233		AD	0	N
2234		AD	0	N
2235		PARTNER	0	N
2236		WEB	0	N
2237		BULK	0	N
2238		AD	25	N
2239		EMAIL	10	N
